time(ms),power(W)
1746220320000,3126572
1746220440000,3900974
1746220560000,3942317
1746220680000,3958775
1746220800000,2619337
1746220920000,3905271
1746221040000,4067570
1746221160000,4186004
1746221280000,2791474
1746221400000,2834861
1746221520000,2970239
1746221640000,4058205
1746221760000,2998947
1746221880000,4110028
1746222000000,4097181
1746222120000,3172693
1746222240000,4126252
1746222360000,4143695
1746222480000,3933097
1746222600000,3185685
1746222720000,3894701
1746222840000,2917103
1746222960000,4080706
1746223080000,4073786
1746223200000,2752684
1746223320000,4163375
1746223440000,4170419
1746223560000,4139819
1746223680000,4008074
1746223800000,3310993
1746223920000,4111097
1746224040000,4029819
1746224160000,3921992
1746224280000,3153401
1746224400000,3983317
1746224520000,4065826
1746224640000,4107593
1746224760000,3995900
1746224880000,4045928
1746225000000,3945456
1746225120000,3988387
1746225240000,3863222
1746225360000,4013385
1746225480000,3974822
1746225600000,3013776
1746225720000,3965041
1746225840000,3945761
1746225960000,3911250
1746226080000,4058176
1746226200000,3012279
1746226320000,4232918
1746226440000,4247053
1746226560000,4201466
1746226680000,4096040
1746226800000,4226592
1746226920000,3986979
1746227040000,4061000
1746227160000,4011529
1746227280000,4057843
1746227400000,4101010
1746227520000,4224640
1746227640000,4159539
1746227760000,4099008
1746227880000,4074137
1746228000000,4041555
1746228120000,2724177
1746228240000,3974389
1746228360000,3143304
1746228480000,2948635
1746228600000,2934810
1746228720000,2822281
1746228840000,3021422
1746228960000,3822031
1746229080000,4101088
1746229200000,4065950
1746229320000,4033112
1746229440000,4065188
1746229560000,4054818
1746229680000,4050388
1746229800000,4271905
1746229920000,4222832
1746230040000,4140592
1746230160000,3164585
1746230280000,2916164
1746230400000,4168690
1746230520000,2897112
1746230640000,4267826
1746230760000,4157287
1746230880000,4066217
1746231000000,3980451
1746231120000,2732278
1746231240000,2131900
1746231360000,4048317
1746231480000,4063672
1746231600000,3038955
1746231720000,4069258
1746231840000,4128408
1746231960000,2918295
1746232080000,2955440
1746232200000,4145127
1746232320000,4084033
1746232440000,4107889
1746232560000,4269747
1746232680000,4266715
1746232800000,4186779
1746232920000,4098993
1746233040000,4098829
1746233160000,2346182
1746233280000,4065345
1746233400000,3121690
1746233520000,4148942
1746233640000,4116572
1746233760000,4105578
1746233880000,4193788
1746234000000,4103517
1746234120000,3113308
1746234240000,4174769
1746234360000,4136456
1746234480000,4150854
1746234600000,4107264
1746234720000,4116065
1746234840000,4040185
1746234960000,3190037
1746235080000,4049682
1746235200000,3127807
1746235320000,4008128
1746235440000,4010833
1746235560000,3157549
1746235680000,4196577
1746235800000,4137745
1746235920000,3233528
1746236040000,4221537
1746236160000,4129966
1746236280000,3146239
1746236400000,3203797
1746236520000,3961871
1746236640000,3934077
1746236760000,4041997
1746236880000,4095724
1746237000000,4132444
